latitude,longitude
37.78152,-122.43912
37.801792,-122.41367
37.78445,-122.41607
37.720398,-122.48135
37.79016,-122.42397
37.784046,-122.40371
37.80258,-122.429855
37.748127,-122.48787
37.787964,-122.40349
37.78456,-122.40733
37.787716,-122.395004
37.763573,-122.417336
37.797092,-122.39833
37.788944,-122.42214
\N,\N
37.7585,-122.42127
37.775513,-122.406296
37.764866,-122.44977
37.76575,-122.41754
37.79249,-122.405655
37.772873,-122.4204
37.760887,-122.435
37.802376,-122.431496
37.71119,-122.40365
37.780006,-122.411934
37.726223,-122.392235
37.788223,-122.42021
37.769867,-122.402405
37.778603,-122.40238
37.783005,-122.412415
\N,\N
37.751305,-122.43409
37.753002,-122.406334
37.723446,-122.40007
37.76492,-122.42189
37.7814,-122.40925
37.765053,-122.41967
37.75012,-122.390434
\N,\N
37.773758,-122.432465
37.752686,-122.410965
37.75759,-122.394104
37.805496,-122.422005
37.79942,-122.43596
37.786613,-122.4064
37.788486,-122.437126
37.80061,-122.43789
\N,\N
37.718124,-122.43436
37.74616,-122.38718
37.799664,-122.4077
37.785076,-122.41114
37.78249,-122.44582
\N,\N
37.791702,-122.41922
37.787663,-122.41335
37.770348,-122.41375
37.787968,-122.418465
37.773468,-122.39143
37.721027,-122.40852
37.737465,-122.38177
37.794144,-122.4214
37.772053,-122.410675
37.797573,-122.40904
37.77944,-122.404434
\N,\N
37.761837,-122.41936
37.71235,-122.41828
\N,\N
37.733143,-122.40434
37.761288,-122.42835
37.78471,-122.41781
37.78684,-122.45012
\N,\N
\N,\N
37.767166,-122.39583
37.764645,-122.426384
37.75674,-122.50459
37.74066,-122.43866
37.7734,-122.46588
37.766468,-122.396286
37.744682,-122.48118
37.800896,-122.39913
37.765053,-122.41967
37.808212,-122.4158
37.74066,-122.43866
37.72181,-122.41648
37.79234,-122.41766
37.712284,-122.40653
37.738323,-122.40565
37.711315,-122.42224
37.775925,-122.43799
37.77148,-122.43537
\N,\N
37.78795,-122.43365
37.765053,-122.41967
37.781654,-122.415504
37.779892,-122.42189
37.786167,-122.42137
37.790462,-122.39669
37.79723,-122.419495
37.72695,-122.476036
37.787964,-122.40349
37.781677,-122.49238
37.782795,-122.414055
37.71504,-122.43232
37.77802,-122.48781
37.76241,-122.43644
37.76241,-122.43644
37.77556,-122.418655
37.77335,-122.46695
37.742374,-122.42197
37.735207,-122.42269
37.780716,-122.43043
37.77499,-122.410065
37.77575,-122.452965
37.724987,-122.44307
37.724987,-122.44307
37.787663,-122.41335
37.755623,-122.39576
37.757595,-122.40959
37.774845,-122.415375
37.781654,-122.415504
37.774086,-122.42241
37.762035,-122.41608
37.70971,-122.4185
37.72884,-122.455605
37.75468,-122.399734
37.744297,-122.404526
37.751705,-122.42744
37.72695,-122.476036
37.76123,-122.48771
37.775177,-122.451355
37.727425,-122.38269
37.78641,-122.408035
37.731453,-122.413055
37.744595,-122.45336
37.776367,-122.41951
37.741474,-122.413216
37.779297,-122.3953
37.78249,-122.44582
37.7845,-122.41946
37.7557,-122.41439
37.773857,-122.40529
37.764324,-122.4317
37.792385,-122.42105
37.78357,-122.41927
37.78445,-122.41607
37.77746,-122.413155
37.78097,-122.40871
37.75883,-122.41578
37.780773,-122.41871
37.722786,-122.43083
37.750572,-122.4194
37.739563,-122.46998
37.782585,-122.415695
37.776367,-122.41951
37.795143,-122.40648
37.77283,-122.39137
37.780575,-122.42026
37.780575,-122.42026
37.765053,-122.41967
37.763912,-122.45418
37.77614,-122.43632
37.742954,-122.47784
37.78652,-122.41481
37.781654,-122.415504
37.776157,-122.42115
37.765053,-122.41967
37.78393,-122.4126
37.761837,-122.41936
37.781754,-122.40969
37.78491,-122.40479
37.777817,-122.423164
37.744682,-122.48118
37.761135,-122.48985
37.78579,-122.41297
37.766407,-122.424255
37.78642,-122.45341
37.77498,-122.472435
37.78024,-122.45388
37.77926,-122.42683
37.752205,-122.419014
37.78641,-122.408035
37.723045,-122.43604
37.776222,-122.411606
37.714985,-122.413605
37.767143,-122.40668
37.750835,-122.415016
37.726887,-122.474236
37.7845,-122.41946
37.77556,-122.418655
37.802563,-122.44508
37.763374,-122.42043
37.751034,-122.41174
37.763515,-122.47819
37.78257,-122.4308
37.727234,-122.38568
37.735065,-122.460335
37.783516,-122.415886
37.77739,-122.42645
37.808212,-122.4158
37.789318,-122.415375
37.72489,-122.48463
37.78152,-122.43912
37.734753,-122.45564
37.73623,-122.50316
\N,\N
\N,\N
37.73338,-122.37993
37.71567,-122.43944
37.78642,-122.45341
